,Date,Mouse ID,Weight,Age(wks),Baited Arms Retrieved,Reference Memory Errors,Working Memory Errors,Retrieve Time,cat
1,2020-02-22,230,19,26,4,13,11,160.0,"(2020-02-19, 2020-02-26]"
0,2020-02-22,232,20,26,4,7,10,64.0,"(2020-02-19, 2020-02-26]"
0,2020-02-16,228,22,26,4,3,5,155.0,"(2020-02-12, 2020-02-19]"
1,2020-02-22,228,21,26,4,1,3,50.0,"(2020-02-19, 2020-02-26]"
0,2020-02-16,230,21,26,4,3,5,123.0,"(2020-02-12, 2020-02-19]"
3,2020-02-29,228,22,27,4,9,8,166.0,"(2020-02-26, 2020-03-04]"
2,2020-02-29,232,22,27,4,7,11,286.0,"(2020-02-26, 2020-03-04]"
1,2020-02-23,232,20,27,4,6,8,118.0,"(2020-02-19, 2020-02-26]"
2,2020-02-23,228,21,27,4,6,4,96.0,"(2020-02-19, 2020-02-26]"
3,2020-02-29,230,21,27,4,3,2,85.0,"(2020-02-26, 2020-03-04]"
2,2020-02-23,230,19,27,4,15,15,225.0,"(2020-02-19, 2020-02-26]"
4,2020-03-01,230,22,28,4,3,2,,"(2020-02-26, 2020-03-04]"
5,2020-03-07,228,23,28,4,11,15,220.0,"(2020-03-04, 2020-03-11]"
5,2020-03-07,230,23,28,4,14,15,177.0,"(2020-03-04, 2020-03-11]"
3,2020-03-01,232,22,28,4,3,1,106.0,"(2020-02-26, 2020-03-04]"
4,2020-03-07,232,22,28,4,1,0,48.0,"(2020-03-04, 2020-03-11]"
4,2020-03-01,228,23,28,4,8,19,180.0,"(2020-02-26, 2020-03-04]"
5,2020-03-08,232,23,29,4,6,6,169.0,"(2020-03-04, 2020-03-11]"
7,2020-03-14,228,24,29,4,6,4,88.0,"(2020-03-11, 2020-03-18]"
6,2020-03-08,230,22,29,4,5,2,91.0,"(2020-03-04, 2020-03-11]"
7,2020-03-14,230,23,29,4,2,1,40.0,"(2020-03-11, 2020-03-18]"
6,2020-03-08,228,24,29,4,9,10,146.0,"(2020-03-04, 2020-03-11]"
0,2020-02-16,182,20,32,4,10,8,192.0,"(2020-02-12, 2020-02-19]"
0,2020-02-16,177,26,32,4,5,2,343.0,"(2020-02-12, 2020-02-19]"
0,2020-02-16,178,27,32,4,12,19,346.0,"(2020-02-12, 2020-02-19]"
0,2020-02-16,181,22,32,4,4,2,381.0,"(2020-02-12, 2020-02-19]"
2,2020-02-23,182,21,33,4,9,10,136.0,"(2020-02-19, 2020-02-26]"
1,2020-02-22,181,21,33,4,2,0,62.0,"(2020-02-19, 2020-02-26]"
2,2020-02-23,181,22,33,4,9,9,225.0,"(2020-02-19, 2020-02-26]"
2,2020-02-23,178,28,33,4,6,3,99.0,"(2020-02-19, 2020-02-26]"
1,2020-02-22,178,27,33,4,5,7,103.0,"(2020-02-19, 2020-02-26]"
2,2020-02-23,177,28,33,4,6,4,122.0,"(2020-02-19, 2020-02-26]"
1,2020-02-22,177,26,33,4,4,1,57.0,"(2020-02-19, 2020-02-26]"
1,2020-02-22,182,21,33,4,15,23,244.0,"(2020-02-19, 2020-02-26]"
4,2020-03-01,177,28,34,4,8,10,553.0,"(2020-02-26, 2020-03-04]"
4,2020-03-01,181,24,34,4,5,3,146.0,"(2020-02-26, 2020-03-04]"
4,2020-03-01,182,23,34,4,2,0,61.0,"(2020-02-26, 2020-03-04]"
3,2020-02-29,182,23,34,4,7,10,158.0,"(2020-02-26, 2020-03-04]"
4,2020-03-01,178,27,34,4,3,1,89.0,"(2020-02-26, 2020-03-04]"
3,2020-02-29,178,28,34,4,5,4,246.0,"(2020-02-26, 2020-03-04]"
3,2020-02-29,177,29,34,4,9,11,494.0,"(2020-02-26, 2020-03-04]"
3,2020-02-29,181,24,34,4,4,3,275.0,"(2020-02-26, 2020-03-04]"
5,2020-03-07,177,28,35,4,7,5,229.0,"(2020-03-04, 2020-03-11]"
6,2020-03-08,177,29,35,3,16,26,599.0,"(2020-03-04, 2020-03-11]"
6,2020-03-08,181,24,35,3,9,13,594.0,"(2020-03-04, 2020-03-11]"
6,2020-03-08,182,24,35,1,15,22,586.0,"(2020-03-04, 2020-03-11]"
5,2020-03-07,182,23,35,2,4,4,589.0,"(2020-03-04, 2020-03-11]"
5,2020-03-07,181,20,35,4,15,24,428.0,"(2020-03-04, 2020-03-11]"
5,2020-03-07,178,27,35,4,6,6,98.0,"(2020-03-04, 2020-03-11]"
6,2020-03-08,178,28,35,4,2,0,57.0,"(2020-03-04, 2020-03-11]"
7,2020-03-14,177,30,36,4,10,13,416.0,"(2020-03-11, 2020-03-18]"
7,2020-03-14,181,25,36,4,6,6,136.0,"(2020-03-11, 2020-03-18]"
7,2020-03-14,178,29,36,4,4,2,138.0,"(2020-03-11, 2020-03-18]"
7,2020-03-14,182,24,36,4,11,10,166.0,"(2020-03-11, 2020-03-18]"
