Mouse ID,Genotype,Gender,Line,TgSWDI,Genotype 2,Genotype 3,Father,Mother,DOB,Age (wks),Set up,Birth status,Estimated Delivery Date,Delivery Date,Ween,Male Status,Breeding Status,Maze Configuration,Treatment Group,Virus Implantation,Experimental Status
170,Tg-SwDI,M,Tg-SwDI,Pos,,,Tg-SwDI (116),Tg-SwDI (117),8/2/2019,30.86,,,,,,,,ABFG,--,--,Testing
171,Tg-SwDI,M,Tg-SwDI,Pos,,,Tg-SwDI (116),Tg-SwDI (117),8/2/2019,30.86,,,,,,,,ABFG,--,--,Testing
224,Tg-SwDI,M,Tg-SwDI x ThCre,Pos,Neg,,Tg-SwDI(116),ThCre(71/99),8/24/2019,27.71,,,,,,,,ABFG,--,--,Testing
225,Tg-SwDI,M,Tg-SwDI x ThCre,Pos,Neg,,Tg-SwDI(116),ThCre(71/99),8/24/2019,27.71,,,,,,,,ABFG,--,--,Testing
233,Tg-SwDI,M,Tg-SwDI x ThCre,Pos,Neg,,Tg-SwDI(116),ThCre(71/99),8/24/2019,27.71,,,,,,,,ABFG,--,--,Testing
172,Tg-SwDI,F,,Pos,,,Tg-SwDI (116),Tg-SwDI (117),8/2/2019,30.86,,,,,,,,BCEG,--,--,Testing
173,Tg-SwDI,F,Tg-SwDI,Pos,,,Tg-SwDI (116),Tg-SwDI (117),8/2/2019,30.86,,,,,,,,BCEG,--,--,Testing
174,Tg-SwDI,F,Tg-SwDI,Pos,,,Tg-SwDI (116),Tg-SwDI (117),8/2/2019,30.86,,,,,,,,BCEG,--,--,Testing
175,Tg-SwDI,F,Tg-SwDI,Pos,,,Tg-SwDI (116),Tg-SwDI (117),8/2/2019,30.86,,,,,,,,BCEG,--,--,Testing
231,Tg-SwDI,F,Tg-SwDI,Pos,,,Tg-SwDI(116),ThCre(71/99),8/24/2019,27.71,,,,,,,,BCEG,--,--,Testing
254,Tg-SwDI,M,Tg-SwDI x ThCre,Pos,Neg,,Tg-SwDI(116),ThCre(71/99),10/2/2019,22.14,,,,,,,,BDFH,MAMP,--,Testing
255,Tg-SwDI,M,Tg-SwDI x ThCre,Pos,Neg,,Tg-SwDI(116),ThCre(71/99),10/2/2019,22.14,,,,,,,,BDFH,MAMP,--,Testing
260,Tg-SwDI,M,Tg-SwDI x ThCre,Pos,Neg,,Tg-SwDI(116),ThCre(210/211),10/21/2019,19.43,,,,,,,,BDFH,MAMP,--,Testing
261,Tg-SwDI,M,Tg-SwDI x ThCre,Pos,Neg,,Tg-SwDI(116),ThCre(210/211),10/21/2019,19.43,,,,,,,,BDFH,MAMP,--,Testing
282,Tg-SwDI,F,Tg-SwDI,Pos,,,Tg-SwDI(116),117,10/29/2019,18.29,,,,,,,,ACDF,MAMP,--,Testing
284,Tg-SwDI,F,Tg-SwDI,Pos,,,Tg-SwDI(116),117,9/15/2019,24.57,,,,,,,,ACDF,MAMP,--,Testing
285,Tg-SwDI,F,Tg-SwDI,Pos,,,Tg-SwDI(116),117,9/15/2019,24.57,,,,,,,,ACDF,MAMP,--,Testing
286,Tg-SwDI,F,Tg-SwDI,Pos,,,Tg-SwDI(116),117,9/15/2019,24.57,,,,,,,,ACDF,MAMP,--,Testing
