Mouse ID,Date,Weight,Baited Arms Retrieved,Reference Memory Errors,Working Memory Errors,Other Notes,Start Time,End Time,Video Length,File,FPS,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),Distance,Center,ArmA,ArmB,ArmC,ArmD,ArmE,ArmF,ArmG,ArmH
85,7/1/2019,16,4,7,5,"Retrieved bait in arm A,C,F,D",,,,,,,,,,,,,,,,,,,,,,
86,7/1/2019,15,4,38,24,"Did not seem interested in bait at beginning.  Passed up multiple rewards.  Eventually retrieved bait from arm A,D,C,F",,,,,,,,,,,,,,,,,,,,,,
91,7/1/2019,18,4,3,1,"Retrieved bait from arm F,A,C,D",,,,,,,,,,,,,,,,,,,,,,
78,7/1/2019,21,4,14,13,"Retrieved bait in D,C,F,A",,,,,,,,,,,,,,,,,,,,,,
82,7/1/2019,21,4,15,4,"Retrieved bait from arm D,F,H,B",,,,,,,,,,,,,,,,,,,,,,
83,7/1/2019,21,4,9,15,"Retrieved bait from arm D,H,B,F",,,,,,,,,,,,,,,,,,,,,,
81,7/1/2019,22,4,11,16,"Retrieved bait from arm F,H,D,B",,,,,,,,,,,,,,,,,,,,,,
84,7/1/2019,21,3,20,12,"Retrieved bait from arm D,F,B",,,,,,,,,,,,,,,,,,,,,,
79,7/1/2019,22,4,0,1,"Retrieved bait from D,F,A,C",,,,,,,,,,,,,,,,,,,,,,
87,7/1/2019,16,0,47,38,"Spent several minutes exploring, not interested in food. Picked up bait but did not eat it. Did not retreive any bait.",,,,,,,,,,,,,,,,,,,,,,
98,7/1/2019,21,4,1,2,"Retrieved bait from D,A,C,F",,,,,,,,,,,,,,,,,,,,,,
90,7/1/2019,21,4,2,5,"Retrieved bait from arm D,F,A,C",,,,,,,,,,,,,,,,,,,,,,
80,7/1/2019,21,4,13,14,"Retrieved bait in C,F,A,D",,,,,,,,,,,,,,,,,,,,,,
90,7/2/2019,20,4,6,3,"Retrieved bait from A,C,F,D",,,,,,,,,,,,,,,,,,,,,,
81,7/2/2019,21,4,3,3,"Retrieved bait from arm D,F,B,H",,,,,,,,,,,,,,,,,,,,,,
79,7/2/2019,23,4,9,4,"Retrieved bait from D,C,A,F",,,,,,,,,,,,,,,,,,,,,,
85,7/2/2019,14,4,12,9,"Retrieved bait from arm D,A,F,C",,,,,,,,,,,,,,,,,,,,,,
82,7/2/2019,21,4,16,5,"Retrieved bait from H,B,D,F",,,,,,,,,,,,,,,,,,,,,,
86,7/2/2019,14,4,3,0,"Retrieved bait from arm C,A,F,D",,,,,,,,,,,,,,,,,,,,,,
80,7/2/2019,22,4,7,2,"Retrieved bait from D,A,C,F",,,,,,,,,,,,,,,,,,,,,,
98,7/2/2019,20,4,6,3,"Retrieved bait from arm C,A,D,F",,,,,,,,,,,,,,,,,,,,,,
87,7/2/2019,15,4,11,4,"Visited several baited arms without retreiving bait.  Eventually retrieved A,C,D,F",,,,,,,,,,,,,,,,,,,,,,
78,7/2/2019,22,4,5,2,"Retrieved bait from A,D,C,F",,,,,,,,,,,,,,,,,,,,,,
83,7/2/2019,21,4,6,2,"Retrieved bait from arm B,F,D,H",,,,,,,,,,,,,,,,,,,,,,
84,7/2/2019,20,4,4,1,"Retrieved bait from arm D,B,F,H",,,,,,,,,,,,,,,,,,,,,,
78,7/3/2019,22,4,5,3,"Retrieved bait from arm D,A,C,F",,,,,,,,,,,,,,,,,,,,,,
79,7/3/2019,22,4,4,7,,,,,,,,,,,,,,,,,,,,,,,
80,7/3/2019,21,4,4,0,"Retrieved bait from arm F,D,A,C",,,,,,,,,,,,,,,,,,,,,,
87,7/5/2019,17,4,6,2,"Retrieved bait from arm D,A,C,F",,,,,,,,,,,,,,,,,,,,,,
90,7/5/2019,23,4,3,0,"Retrieved bait from arm A,C,D,F",,,,,,,,,,,,,,,,,,,,,,
80,7/5/2019,23,4,6,2,"Retrieved bait from arm D,A,C,F",,,,,,,,,,,,,,,,,,,,,,
79,7/5/2019,24,4,2,1,"Retrieved bait from arm D,A,C,F",,,,,,,,,,,,,,,,,,,,,,
81,7/5/2019,24,4,0,2,"Retrieved bait from arm D,B,H,F",,,,,,,,,,,,,,,,,,,,,,
86,7/5/2019,17,4,16,7,"Retrieved bait from arm D,A,C,F",,,,,,,,,,,,,,,,,,,,,,
84,7/5/2019,21,4,13,5,"Retrieved bait from arm D,F,H,B",,,,,,,,,,,,,,,,,,,,,,
85,7/5/2019,18,4,6,3,"Retrieved bait from arm A, D, F, C",,,,,,,,,,,,,,,,,,,,,,
78,7/5/2019,23,4,12,0,"Retrieved bait from arm A,D,F,C",,,,,,,,,,,,,,,,,,,,,,
82,7/5/2019,22,4,7,4,"Retrieved bait from arm H,F,D,B",,,,,,,,,,,,,,,,,,,,,,
83,7/5/2019,23,4,3,2,"Retrieved bait from arm B,H,F,D",,,,,,,,,,,,,,,,,,,,,,
98,7/5/2019,22,4,9,1,"Retrieved bait from arm A,C,D,F",,,,,,,,,,,,,,,,,,,,,,
98,7/8/2019,20,4,2,0,"Retrieved bait from arm C,F,D,A",,,,,,,,,,,,,,,,,,,,,,
83,7/8/2019,21,4,2,0,"Retrieved bait from arm B,F,D,H",,,,,,,,,,,,,,,,,,,,,,
85,7/8/2019,16,4,4,1,"Retrieved bait from arm C,A,F,D",,,,,,,,,,,,,,,,,,,,,,
82,7/8/2019,20,4,4,1,"Retrieved bait from arm H,D,B,F",,,,,,,,,,,,,,,,,,,,,,
84,7/8/2019,20,4,1,0,"Retrieved bait from arm D,B,H,F",,,,,,,,,,,,,,,,,,,,,,
80,7/8/2019,20,4,2,4,"Retrieved bait from arm C,F,A,D",,,,,,,,,,,,,,,,,,,,,,
79,7/8/2019,21,4,3,0,"Retrieved bait from arm A,C,D,F",,,,,,,,,,,,,,,,,,,,,,
86,7/8/2019,16,4,8,1,"Retrieved bait from arm A,F,D,C",,,,,,,,,,,,,,,,,,,,,,
81,7/8/2019,21,4,0,1,"Retrieved bait from arm B,F,D,H",,,,,,,,,,,,,,,,,,,,,,
78,7/8/2019,20,4,13,5,"Retrieved bait from arm C,A,D",,,,,,,,,,,,,,,,,,,,,,
90,7/8/2019,20,4,8,4,"Retrieved bait from arm C,D,F,A",,,,,,,,,,,,,,,,,,,,,,
87,7/8/2019,15,4,13,7,"Retrieved bait from arm A,C,D,F",,,,,,,,,,,,,,,,,,,,,,
81,7/10/2019,22,4,10,7,"Retrieved bait from arm D, B, H, F",,,,,,,,,,,,,,,,,,,,,,
84,7/10/2019,19,4,5,1,"Retrieved bait from arm H, B, F, D",,,,,,,,,,,,,,,,,,,,,,
82,7/10/2019,20,4,3,1,"Retrieved bait from arm D, B, F, H",,,,,,,,,,,,,,,,,,,,,,
78,7/10/2019,20,4,2,0,"Retrieved bait from arm D, F, A, C",,,,,,,,,,,,,,,,,,,,,,
90,7/10/2019,20,4,4,0,"Retrieved bait from arm D, C, A, F",,,,,,,,,,,,,,,,,,,,,,
87,7/10/2019,16,4,9,2,"Retrieved bait from arm F, C, A, D",,,,,,,,,,,,,,,,,,,,,,
80,7/10/2019,21,4,2,0,"Retrieved bait from arm F, C, D, A",,,,,,,,,,,,,,,,,,,,,,
83,7/10/2019,21,4,3,1,"Retrieved bait from arm F, D, B, H",,,,,,,,,,,,,,,,,,,,,,
85,7/10/2019,16,4,4,0,"Retrieved bait from arm D, F, C, A",,,,,,,,,,,,,,,,,,,,,,
79,7/10/2019,19,4,13,3,"Retrieved bait from arm F, D, C, A",,,,,,,,,,,,,,,,,,,,,,
86,7/10/2019,15,4,4,0,"Retrieved bait from arm F,C, A, D",,,,,,,,,,,,,,,,,,,,,,
