,trial,RME,WME
0,2020_02_22_N131_ABFG_EB1_Trial1_LocationOutput.csv,4,0
1,2020_02_22_N177_ACDF_EB1_Trial1_LocationOutput.csv,4,1
2,2020_02_22_N178_ACDF_EB1_Trial1_LocationOutput.csv,5,7
3,2020_02_22_N181_BDFH_EB1_Trial1_LocationOutput.csv,2,0
4,2020_02_22_N182_BDFH_EB1_Trial1_LocationOutput.csv,15,23
5,2020_02_22_N184_BDFH_EB1_Trial1_LocationOutput.csv,1,1
6,2020_02_22_N190_BCEG_EB1_Trial1_LocationOutput.csv,5,1
7,2020_02_22_N193_BCEG_EB1_Trial1_LocationOutput.csv,7,6
8,2020_02_22_N194_BCEG_EB1_Trial1_LocationOutput.csv,5,3
9,2020_02_22_N196_BCEG_EB1_Trial1_LocationOutput.csv,5,4
10,2020_02_22_N202_ABFG_EB1_Trial1_LocationOutput.csv,2,0
11,2020_02_22_N203_ABFG_EB1_Trial1_LocationOutput.csv,3,5
12,2020_02_22_N207_BCEG_EB1_Trial1_LocationOutput.csv,4,1
13,2020_02_22_N210_ABFG_EB1_Trial1_LocationOutput.csv,4,1
14,2020_02_22_N211_ABFG_EB1_Trial1_LocationOutput.csv,4,0
15,2020_02_22_N228_BDFH_EB1_Trial1_LocationOutput.csv,1,3
16,2020_02_22_N230_BDFH_EB1_Trial1_LocationOutput.csv,13,11
17,2020_02_22_N232_BDFH_EB1_Trial1_LocationOutput.csv,6,8
18,2020_02_22_N236_BDFH_EB1_Trial1_LocationOutput.csv,3,3
19,2020_02_22_N282_ACDF_EB1_Trial1_LocationOutput.csv,5,2
20,2020_02_22_N284_ACDF_EB1_Trial1_LocationOutput.csv,8,9
21,2020_02_22_N285_ACDF_EB1_Trial1_LocationOutput.csv,4,2
22,2020_02_22_N286_ACDF_EB1_Trial1_LocationOutput.csv,4,1
23,2020_02_22_N71_ABFG_EB1_Trial1_LocationOutput.csv,6,6
24,2020_02_22_N99_ABFG_EB1_Trial1_LocationOutput.csv,2,0
25,2020_02_23_N170_ABFG_EB1_Trial1_LocationOutput.csv,4,1
26,2020_02_23_N171_ABFG_EB1_Trial1_LocationOutput.csv,1,0
27,2020_02_23_N172_BCEG_EB1_Trial1_LocationOutput.csv,4,2
28,2020_02_23_N173_BCEG_EB1_Trial1_LocationOutput.csv,2,0
29,2020_02_23_N174_BCEG_EB1_Trial1_LocationOutput.csv,5,3
30,2020_02_23_N175_BCEG_EB1_Trial1_LocationOutput.csv,7,3
31,2020_02_23_N177_ACDF_EB1_Trial1_LocationOutput.csv,6,4
32,2020_02_23_N178_ACDF_EB1_Trial1_LocationOutput.csv,6,3
33,2020_02_23_N181_BDFH_EB1_Trial1_LocationOutput.csv,9,9
34,2020_02_23_N182_BDFH_EB1_Trial1_LocationOutput.csv,9,10
35,2020_02_23_N184_BDFH_EB1_Trial1_LocationOutput.csv,1,3
36,2020_02_23_N224_ABFG_EB1_Trial1_LocationOutput.csv,1,0
37,2020_02_23_N225_ABFG_EB1_Trial1_LocationOutput.csv,4,0
38,2020_02_23_N228_BDFH_EB1_Trial1_LocationOutput.csv,6,4
39,2020_02_23_N230_BDFH_EB1_Trial1_LocationOutput.csv,15,15
40,2020_02_23_N231_BCEG_EB1_Trial1_LocationOutput.csv,4,1
41,2020_02_23_N232_BDFH_EB1_Trial1_LocationOutput.csv,10,9
42,2020_02_23_N233_ABFG_EB1_Trial1_LocationOutput.csv,5,2
43,2020_02_23_N236_BDFH_EB1_Trial1_LocationOutput.csv,1,1
44,2020_02_23_N254_BDFH_EB1_Trial1_LocationOutput.csv,5,1
45,2020_02_23_N255_BDFH_EB1_Trial1_LocationOutput.csv,3,0
46,2020_02_23_N259_ABFG_EB1_Trial1_LocationOutput.csv,11,13
47,2020_02_23_N260_BDFH_EB1_Trial1_LocationOutput.csv,19,19
48,2020_02_23_N261_BDFH_EB1_Trial1_LocationOutput.csv,12,11
